OA LOC name,Gene name,Notes,,,,,
LOC105608579,LOC105608579,,,,,,
LOC105608561,LOC105608561,,,,,,
LOC105608539,XKR6,,,,,,
LOC105608537,LOC105608537,,,,,,
LOC105608474,ZNF235,,,,,,
LOC105608446,LOC105608446,,,,,,
LOC105608442,LOC105608442,,,,,,
LOC105608435,FUT2,,,,,,
LOC105608416,LOC105608416,,,,,,
LOC105608415,GNGT2,,,,,,
LOC105608393,LOC105608393,,,,,,
LOC105608368,LOC105608368,,,,,,
LOC105608356,LOC105608356,,,,,,
LOC105608340,LOC105608340,,,,,,
LOC105608331,LOC105608331,,,,,,
LOC105608322,PCDHB12,like gene,,,,,
LOC105608312,CLNS1A,pseudogene,,,,,
LOC105608311,LOC105608311,,,,,,
LOC105608279,LOC105608279,,,,,,
LOC105608259,,DISCONTINUED,,,,,
LOC105608245,LOC105608245,,,,,,
LOC105608222,LOC105608222,,,,,,
LOC105608219,,DISCONTINUED,,,,,
LOC105608205,LOC105608205,,,,,,
LOC105608167,,DISCONTINUED,,,,,
LOC105608150,LOC105608150,,,,,,
LOC105608127,LOC105608127,,,,,,
LOC105608018,,DISCONTINUED,,,,,
LOC105608014,LOC105608014,,,,,,
LOC105608013,LOC105608013,,,,,,
LOC105608012,LOC105608012,,,,,,
LOC105608011,LOC105608011,,,,,,
LOC105607922,,DISCONTINUED,,,,,
LOC105607911,LOC105607911,,,,,,
LOC105607883,LOC105607883,,,,,,
LOC105607860,LOC105607860,,,,,,
LOC105607855,LOC105607855,,,,,,
LOC105607837,LOC105607837,,,,,,
LOC105607826,BRCC3,like gene,,,,,
LOC105607825,SINHCAF,Like gene,,,,,
LOC105607815,LOC105607815,,,,,,
LOC105607811,PPP1R2,like gene,,,,,
LOC105607801,LOC105607801,,,,,,
LOC105607786,LOC105607786,,,,,,
LOC105607776,,cathelicidin-3-like,,,,,
LOC105607765,,DISCONTINUED,,,,,
LOC105607754,LOC105607754,,,,,,
LOC105607745,RPS26,like gene,,,,,
LOC105607736,LOC105607736,,,,,,
LOC105607721,,DISCONTINUED,,,,,
LOC105607720,,DISCONTINUED,,,,,
LOC105607710,PLEKHO2,,,,,,
LOC105607696,,DISCONTINUED,,,,,
LOC105607689,,DISCONTINUED,,,,,
LOC105607675,SPAAR,,,,,,
LOC105607667,LOC105607667,,,,,,
LOC105607625,LOC105607625,,,,,,
LOC105607600,C19H3orf49,,,,,,
LOC105607593,ZNF569,DISCONTINUED,,,,,
LOC105607580,HMGN1,Like gene,,,,,
LOC105607573,LOC105607573,,,,,,
LOC105607557,,DISCONTINUED,,,,,
LOC105607552,,DISCONTINUED,,,,,
LOC105607533,LOC105607533,,,,,,
LOC105607520,LOC105607520,,,,,,
LOC105607483,LOC105607483,,,,,,
LOC105607467,CYS1,,,,,,
LOC105607466,,DISCONTINUED,,,,,
LOC105607354,LOC106990930,,,,,,
LOC105607326,LOC105607326,DISCONTINUED,,,,,
LOC105607297,LEO1,like gene,,,,,
LOC105607270,LOC105607270,,,,,,
LOC105607267,LOC105607267,,,,,,
LOC105607264,,DISCONTINUED,,,,,
LOC105607262,,DISCONTINUED,,,,,
LOC105607248,,DISCONTINUED,,,,,
LOC105607245,,DISCONTINUED,,,,,
LOC105607222,CCDC187,,,,,,
LOC105607217,LOC105607217,,,,,,
LOC105607210,BRD3OS,,,,,,
LOC105607199,LOC105607199,,,,,,
LOC105607198,PPP1R26,,,,,,
LOC105607154,SINHCAF,like gene,,,,,
LOC105607153,,DISCONTINUED,,,,,
LOC105607146,LOC105607146,,,,,,
LOC105607128,RPL13,pseudogene,,,,,
LOC105607070,LOC105607070,,,,,,
LOC105607045,,DISCONTINUED,,,,,
LOC105606998,,DISCONTINUED,,,,,
LOC105606974,LOC105606974,,,,,,
LOC105606960,TRNP1,,,,,,
LOC105606943,RPL17,,,,,,
LOC105606925,ZFP36L2,,,,,,
LOC105606919,LOC105606919,,,,,,
LOC105606908,LOC105606908,,,,,,
LOC105606901,H3-3A,like gene,,,,,
LOC105606892,,DISCONTINUED,,,,,
LOC105606890,LOC105606890,,,,,,
LOC105606886,LOC105606886,,,,,,
LOC105606875,KRTAP5-1,like gene,,,,,
LOC105606870,,DISCONTINUED,,,,,
LOC105606862,,DISCONTINUED,,,,,
LOC105606856,LOC105606856,,,,,,
LOC105606855,LOC105606855,,,,,,
LOC105606766,PNKD,,,,,,
LOC105606759,SPEG,,,,,,
LOC105606752,,DISCONTINUED,,,,,
LOC105606738,LOC106990145,,,,,,
LOC105606709,CSNK1A1,,,,,,
LOC105606707,LOC105606707,,,,,,
LOC105606693,RPL4,,,,,,
LOC105606646,LOC105606646,,,,,,
LOC105606609,AKNA,,,,,,
LOC105606607,LOC105606607,,,,,,
LOC105606599,HOXA7,,,,,,
LOC105606593,LOC105606593,,,,,,
LOC105606567,RPL39,,,,,,
LOC105606525,LOC105606525,,,,,,
LOC105606506,LOC105606506,,,,,,
LOC105606460,LOC105606460,,,,,,
LOC105606458,LOC105606460,,,,,,
LOC105606457,,DISCONTINUED,,,,,
LOC105606448,,DISCONTINUED,,,,,
LOC105606445,FAM110C,,,,,,
LOC105606443,LOC105606443,,,,,,
LOC105606442,,DISCONTINUED,,,,,
LOC105606441,,DISCONTINUED,,,,,
LOC105606428,LOC105606428,,,,,,
LOC105606374,,DISCONTINUED,,,,,
LOC105606334,,DISCONTINUED,,,,,
LOC105606290,LOC105606290,,,,,,
LOC105606280,LOC105606280,,,,,,
LOC105606270,LOC105606270,,,,,,
LOC105606267,LOC105606267,,,,,,
LOC105606262,DCXR,like gene,,,,,
LOC105606247,,DISCONTINUED,,,,,
LOC105606223,ATP5F1E,,,,,,
LOC105606221,LOC105606221,,,,,,
LOC105606211,,DISCONTINUED,,,,,
LOC105606169,C22H10orf143,,,,,,
LOC105606161,PWWP2B,,,,,,
LOC105606140,TNRC18,,,,,,
LOC105606139,TECPR1,,,,,,
LOC105606138,,DISCONTINUED,,,,,
LOC105606137,NSMCE1,,,,,,
LOC105606136,PKD1,,,,,,
LOC105606135,PKD1,,,,,,
LOC105606123,,DISCONTINUED,,,,,
LOC105606122,IQSEC1,,,,,,
LOC105606118,NT5DC2,,,,,,
LOC105606117,STAB1,,,,,,
LOC105606116,GXYLT2,,,,,,
LOC105606115,ITGB4,,,,,,
LOC105606114,ITGB4,,,,,,
LOC105606113,FASN,,,,,,
LOC105606108,WIPI1,,,,,,
LOC105606105,,DISCONTINUED,,,,,
LOC105606104,,DISCONTINUED,,,,,
LOC105606101,LIFR,,,,,,
LOC105606098,,DISCONTINUED,,,,,
LOC105606097,ARVCF,,,,,,
LOC105606096,,DISCONTINUED,,,,,
LOC105606095,,DISCONTINUED,,,,,
LOC105606091,PGRMC2,pseudogene,,,,,
LOC105606088,SOX13,,,,,,
LOC105606087,SRPX2,,,,,,
LOC105606082,NAXD,,,,,,
LOC105606081,THBS2,,,,,,
LOC105606076,,DISCONTINUED,,,,,
LOC105606075,,DISCONTINUED,,,,,
LOC105606074,PPP1R16A,,,,,,
LOC105606073,ARPP19,,,,,,
LOC105606070,,DISCONTINUED,,,,,
LOC105606069,ITPKA,,,,,,
LOC105606066,,DISCONTINUED,,,,,
LOC105606064,,DISCONTINUED,,,,,
LOC105606063,NOTCH3,,,,,,
LOC105606062,DDX49,,,,,,
LOC105606057,UPP1,,,,,,
LOC105606053,,DISCONTINUED,,,,,
LOC105606051,IL17RA,,,,,,
LOC105606050,C3H12orf4,,,,,,
LOC105606048,THUMPD2,,,,,,
LOC105606047,LHX3,,,,,,
LOC105606046,INPP5E,,,,,,
LOC105606036,,DISCONTINUED,,,,,
LOC105606035,APOL3,like gene,,,,,
LOC105606031,ADCY5,,,,,,
LOC105606030,ADCY5,,,,,,
LOC105606027,SLC6A9,,,,,,
LOC105606026,,DISCONTINUED,,,,,
LOC105606016,PPP1R12C,,,,,,
LOC105606015,RRP1,,,,,,
LOC105606007,PODXL,,,,,,
LOC105606006,TMEM175,,,,,,
LOC105606005,DGKQ,,,,,,
LOC105606001,LOC105606001,,,,,,
LOC105605995,NPC1,,,,,,
LOC105605988,LOC114111361,,,,,,
LOC105605981,,DISCONTINUED,,,,,
LOC105605980,CNTRL,,,,,,
LOC105605978,,tumor necrosis factor receptor superfamily member 26-like,,,,,
LOC105605975,AOC3,like gene,,,,,
LOC105605971,SUSD2,,,,,,
LOC105605970,TECPR2,,,,,,
LOC105605968,DNAJA1,,,,,,
LOC105605963,MAD1L1,,,,,,
LOC105605956,LOC105605956,,,,,,
LOC105605948,,DISCONTINUED,,,,,
LOC105605939,ZNF665,like gene,,,,,
LOC105605937,ZNF665,like gene,,,,,
LOC105605934,,DISCONTINUED,,,,,
LOC105605933,ADAMTSL3,,,,,,
LOC105605927,C3,,,,,,
LOC105605922,LOC105605922,,,,,,
LOC105605921,CEACAM4,like gene,,,,,
LOC105605919,,DISCONTINUED,,,,,
LOC105605918,AOC3,,,,,,
LOC105605915,ZNF665,,,,,,
LOC105605903,ADH4,,,,,,
LOC105605899,DPP7,,,,,,
LOC105605898,DPP7,,,,,,
LOC105605895,ITCH,,,,,,
LOC105605893,ZNF665,,,,,,
LOC105605891,PPP6R2,,,,,,
LOC105605886,ZNF420,,,,,,
LOC105605879,C4,,,,,,
LOC105605869,,DISCONTINUED,,,,,
LOC105605864,PAXIP1,,,,,,
LOC105605858,BCKDHB,,,,,,
LOC105605857,,DISCONTINUED,,,,,
LOC105605854,ANKRD26,,,,,,
LOC105605852,DGCR6L,,,,,,
LOC105605850,ABCA3,,,,,,
LOC105605844,,DISCONTINUED,,,,,
LOC105605834,SLC7A3,,,,,,
LOC105605833,SLC7A3,,,,,,
LOC105605829,ZNF133,,,,,,
LOC105605825,GTPBP6,,,,,,
LOC105605822,MAN1B1,,,,,,
LOC105605819,ADAM8,,,,,,
LOC105605818,,DISCONTINUED,,,,,
LOC105605809,SRSF10,like gene,,,,,
LOC105605808,ZNF160,,,,,,
LOC105605805,GUSB,like gene,,,,,
LOC105605794,WDR90,,,,,,
LOC105605792,LOC105605792,,,,,,
LOC105605785,MRPS5,,,,,,
LOC105605775,,DISCONTINUED,,,,,
LOC105605770,APOL3,like gene,,,,,
LOC105605761,TNFAIP2,like gene,,,,,
LOC105605759,MYADM,like gene,,,,,
LOC105605755,,collectin-46-like; bovine analog,,,,,
LOC105605752,ZNF665,Like gene,,,,,
LOC105605750,,DISCONTINUED,,,,,
LOC105605749,,DISCONTINUED,,,,,
LOC105605745,,collectin-46-like; bovine analog,,,,,
LOC105605744,LOC105605744,,,,,,
LOC105605743,ZDHHC11B,,,,,,
LOC105605742,GUSB,,,,,,
LOC105605741,,DISCONTINUED,,,,,
LOC105605730,ADH4,,,,,,
LOC105605723,,DISCONTINUED,,,,,
LOC105605712,,DISCONTINUED,,,,,
LOC105605706,,DISCONTINUED,,,,,
LOC105605699,FLNA,,,,,,
LOC105605676,,DISCONTINUED,,,,,
LOC105605636,BEX4,,,,,,
LOC105605616,,DISCONTINUED,,,,,
LOC105605613,,UPF0600 protein C5orf51-like,,,,,
LOC105605611,LOC105605611,,,,,,
LOC105605606,LARS1,pseudogene,,,,,
LOC105605603,APLN,,,,,,
LOC105605579,ANP32B,,,,,,
LOC105605573,LOC105605573,,,,,,
LOC105605568,,DISCONTINUED,,,,,
LOC105605528,LOC105605528,,,,,,
LOC105605515,,DISCONTINUED,,,,,
LOC105605507,LOC105605507,,,,,,
LOC105605487,LOC105605487,,,,,,
LOC105605471,,DISCONTINUED,,,,,
LOC105605462,LOC105605462,,,,,,
LOC105605459,LOC105605459,,,,,,
LOC105605457,CBX1,,,,,,
LOC105605453,LOC105605453,,,,,,
LOC105605452,NBDY,,,,,,
LOC105605439,LOC105605439,,,,,,
LOC105605403,,DISCONTINUED,,,,,
LOC105605372,,DISCONTINUED,,,,,
LOC105605369,CA5B,Like gene,,,,,
LOC105605360,LOC105605360,,,,,,
LOC105605337,LOC105605337,,,,,,
LOC105605336,LOC105605336,,,,,,
LOC105605335,ANOS1,,,,,,
LOC105605322,LOC105605322,,,,,,
LOC105605313,CSF2RA,Like gene,,,,,
LOC105605293,LOC105605293,,,,,,
LOC105605252,CSGALNACT1,,,,,,
LOC105605242,LOC114110969,,,,,,
LOC105605187,LOC105605187,,,,,,
LOC105605177,LOC105605177,,,,,,
LOC105605167,,DISCONTINUED,,,,,
LOC105605158,RAN,Like gene,,,,,
LOC105605154,GTF2I,Like gene,,,,,
LOC105605108,MEMO1,Like gene,,,,,
LOC105605102,,DISCONTINUED,,,,,
LOC105605079,RPL10A,Like gene,,,,,
LOC105605070,,DISCONTINUED,,,,,
LOC105605067,LOC105605067,,,,,,
LOC105605056,,DISCONTINUED,,,,,
LOC105605028,LOC105605028,,,,,,
LOC105605027,LOC105605027,,,,,,
LOC105605002,LOC106991580,,,,,,
LOC105604997,,DISCONTINUED,,,,,
LOC105604996,,DISCONTINUED,,,,,
LOC105604994,LOC105604994,,,,,,
LOC105604991,,DISCONTINUED,,,,,
LOC105604962,LOC105604962,,,,,,
LOC105604959,MTAP,Like gene,,,,,
LOC105604950,LOC105604950,,,,,,
LOC105604931,LOC105604931,,,,,,
LOC105604929,,DISCONTINUED,,,,,
LOC105604916,LOC105604916,,,,,,
LOC105604896,USF1,Like gene,,,,,
LOC105604890,,DISCONTINUED,,,,,
LOC105604888,LOC105604888,,,,,,
LOC105604883,SUN1,,,,,,
LOC105604851,,DISCONTINUED,,,,,
LOC105604847,CLCN7,,,,,,
LOC105604844,,DISCONTINUED,,,,,
LOC105604843,WDR24,,,,,,
LOC105604842,RPS9,Like gene,,,,,
LOC105604839,LOC105604839,,,,,,
LOC105604827,LOC105604827,,,,,,
LOC105604809,,DISCONTINUED,,,,,
LOC105604801,ZNF501,Like gene,,,,,
LOC105604796,,DISCONTINUED,,,,,
LOC105604795,,DISCONTINUED,,,,,
LOC105604794,MAP1LC3B,Like gene,,,,,
LOC105604785,MUC3A,,,,,,
LOC105604784,LOC105604784,,,,,,
LOC105604783,,DISCONTINUED,,,,,
LOC105604782,LOC105604782,,,,,,
LOC105604781,CUX1,,,,,,
LOC105604776,,DISCONTINUED,,,,,
LOC105604773,,DISCONTINUED,,,,,
LOC105604737,ZHD9,,,,,,
LOC105604729,TRPM2,,,,,,
LOC105604727,LOC105604727,,,,,,
LOC105604726,LOC105604726,,,,,,
LOC105604725,,DISCONTINUED,,,,,
LOC105604724,,DISCONTINUED,,,,,
LOC105604676,LOC105604676,,,,,,
LOC105604668,LOC105604668,,,,,,
LOC105604649,LOC105604649,,,,,,
LOC105604632,,DISCONTINUED,,,,,
LOC105604630,ZNF75A,Like gene,,,,,
LOC105604623,,DISCONTINUED,,,,,
LOC105604618,LOC105604618,,,,,,
LOC105604616,LOC101116622,,,,,,
LOC105604611,KCTD5,,,,,,
LOC105604609,RNF151,,,,,,
LOC105604604,CLCN7,,,,,,
LOC105604599,LOC105604599,,,,,,
LOC105604596,LOC105604596,,,,,,
LOC105604589,,DISCONTINUED,,,,,
LOC105604578,,DISCONTINUED,,,,,
LOC105604571,LOC105604571,,,,,,
LOC105604562,ZNF532,,,,,,
LOC105604551,,DISCONTINUED,,,,,
LOC105604543,LOC105604543,,,,,,
LOC105604520,,DISCONTINUED,,,,,
LOC105604496,LOC105604496,,,,,,
LOC105604488,LOC105604488,,,,,,
LOC105604472,LOC105604472,,,,,,
LOC105604469,LOC105604469,,,,,,
LOC105604454,,DISCONTINUED,,,,,
LOC105604437,,DISCONTINUED,,,,,
LOC105604385,,DISCONTINUED,,,,,
LOC105604382,LOC105604382,,,,,,
LOC105604373,LRRC27,,,,,,
LOC105604369,SINHCAF,Like gene,,,,,
LOC105604353,,DISCONTINUED,,,,,
LOC105604257,LOC105604257,,,,,,
LOC105604242,MARVELD1,,,,,,
LOC105604241,HOGA1,,,,,,
LOC105604230,LOC105604230,,,,,,
LOC105604222,PANK1,,,,,,
LOC105604204,,DISCONTINUED,,,,,
LOC105604198,MUC5AC,,,,,,
LOC105604182,RPS6KA4,,,,,,
LOC105604171,SAA,like gene,,,,,
LOC105604160,LOC105604160,,,,,,
LOC105604156,LOC105604155,,,,,,
LOC105604154,POLR2L,,,,,,
LOC105604152,,DISCONTINUED,,,,,
LOC105604146,LOC114110031,,,,,,
LOC105604143,,DISCONTINUED,,,,,
LOC105604139,,DISCONTINUED,,,,,
LOC105604137,,DISCONTINUED,,,,,
LOC105604106,LOC105604106,,,,,,
LOC105604103,ZFTA,,,,,,
LOC105604089,,DISCONTINUED,,,,,
LOC105604060,YWHAQ,pseudogene,,,,,
LOC105604058,LOC105604058,,,,,,
LOC105604057,LOC105604057,,,,,,
LOC105604036,LOC105604036,,,,,,
LOC105604035,SPTY2D1OS,,,,,,
LOC105604021,ANP32B,pseudogene,,,,,
LOC105603956,LOC105603956,,,,,,
LOC105603932,ZNF397,like gene,,,,,
LOC105603927,,DISCONTINUED,,,,,
LOC105603919,,DISCONTINUED,,,,,
LOC105603915,,DISCONTINUED,,,,,
LOC105603914,,DISCONTINUED,,,,,
LOC105603906,LOC105603906,,,,,,
LOC105603905,,DISCONTINUED,,,,,
LOC105603904,LOC105603904,,,,,,
LOC105603901,LOC105603901,,,,,,
LOC105603893,LOC105603893,,,,,,
LOC105603892,LOC105603892,,,,,,
LOC105603888,LOC105603888,,,,,,
LOC105603871,C20H6orf52,,,,,,
LOC105603859,,DISCONTINUED,,,,,
LOC105603828,LOC105603828,,,,,,
LOC105603808,LOC105603808,,,,,,
LOC105603793,LOC105603793,,,,,,
LOC105603790,ZKSCAN4,,,,,,
LOC105603786,LOC105603786,,,,,,
LOC105603777,,DISCONTINUED,,,,,
LOC105603775,,DISCONTINUED,,,,,
LOC105603761,LOC105603761,,,,,,
LOC105603723,LOC105603723,,,,,,
LOC105603721,,DISCONTINUED,,,,,
LOC105603710,DTD1,,,,,,
LOC105603698,TCTP,pseudogene,,,,,
LOC105603686,,DISCONTINUED,,,,,
LOC105603679,LOC105603679,,,,,,
LOC105603669,LOC106991803,,,,,,
LOC105603659,,DISCONTINUED,,,,,
LOC105603639,DST,,,,,,
LOC105603631,,DISCONTINUED,,,,,
LOC105603621,,dISCONTINUED,,,,,
LOC105603609,LOC105603609,,,,,,
LOC105603608,LOC105603609,,,,,,
LOC105603606,,DISCONTINUED,,,,,
LOC105603604,,DISCONTINUED,,,,,
LOC105603599,CFAP92,,,,,,
LOC105603593,,DISCONTINUED,,,,,
LOC105603577,,DISCONTINUED,,,,,
LOC105603563,,DISCONTINUED,,,,,
LOC105603554,KLHL18,,,,,,
LOC105603545,,DISCONTINUED,,,,,
LOC105603536,,DISCONTINUED,,,,,
LOC105603529,,DISCONTINUED,,,,,
LOC105603519,LOC105603519,,,,,,
LOC105603509,MRPL16,,,,,,
LOC105603471,LOC105603471,,,,,,
LOC105603457,,DISCONTINUED,,,,,
LOC105603426,LOC105603426,,,,,,
LOC105603423,EGFL6,,,,,,
LOC105603415,LOC105603415,,,,,,
LOC105603399,LOC105603399,,,,,,
LOC105603397,LOC105603397,,,,,,
LOC105603394,LOC105603394,,,,,,
LOC105603384,LOC105603384,,,,,,
LOC105603383,ZNF621,like gene,,,,,
LOC105603377,LOC105603377,,,,,,
LOC105603376,LOC105603376,,,,,,
LOC105603374,LOC105603374,,,,,,
LOC105603371,DPH3,,,,,,
LOC105603320,LOC105603320,,,,,,
LOC105603317,,DISCONTINUED,,,,,
LOC105603299,GZMH,Like gene,,,,,
LOC105603287,IGHM,Ig mu chain C region membrane-bound form,,,,,
LOC105603284,CRIP1,,,,,,
LOC105603283,,DISCONTINUED,,,,,
LOC105603282,,DISCONTINUED,,,,,
LOC105603277,,DISCONTINUED,,,,,
LOC105603269,LOC105603269,,,,,,
LOC105603244,LOC105603244,,,,,,
LOC105603235,LOC105603235,,,,,,
LOC105603234,LOC105603234,,,,,,
LOC105603231,,DISCONTINUED,,,,,
LOC105603222,LOC105603222,,,,,,
LOC105603201,,DISCONTINUED,,,,,
LOC105603195,LOC105603195,,,,,,
LOC105603193,,DISCONTINUED,,,,,
LOC105603128,LOC105603128,,,,,,
LOC105603125,ATP5MJ,,,,,,
LOC105603102,LOC105603102,,,,,,
LOC105603101,,DISCONTINUED,,,,,
LOC105603094,,DISCONTINUED,,,,,
LOC105603073,,DISCONTINUED,,,,,
LOC105603042,LOC105603042,,,,,,
LOC105603009,,DISCONTINUED,,,,,
LOC105602999,LOC105602999,,,,,,
LOC105602998,DEPDC5,,,,,,
LOC105602988,GALNT9,,,,,,
LOC105602979,,DISCONTINUED,,,,,
LOC105602975,IMP3,like gene,,,,,
LOC105602973,RPL9,pseudogene,,,,,
LOC105602968,TXNRD2,,,,,,
LOC105602964,CCDC74B,,,,,,
LOC105602963,,DISCONTINUED,,,,,
LOC105602959,LOC105602959,,,,,,
LOC105602957,LOC105602957,,,,,,
LOC105602948,,DISCONTINUED,,,,,
LOC105602913,LOC105602913,,,,,,
LOC105602910,,DISCONTINUED,,,,,
LOC105602904,,DISCONTINUED,,,,,
LOC105602903,,DISCONTINUED,,,,,
LOC105602888,,DISCONTINUED,,,,,
LOC105602881,LOC105602881,,,,,,
LOC105602878,HVCN1,,,,,,
LOC105602872,,DISCONTINUED,,,,,
LOC105602871,,DISCONTINUED,,,,,
LOC105602860,,DISCONTINUED,,,,,
LOC105602850,LOC105602850,,,,,,
LOC105602833,,DISCONTINUED,,,,,
LOC105602800,LOC105602800,,,,,,
LOC105602763,LOC105602763,,,,,,
LOC105602739,LOC105602739,,,,,,
LOC105602729,LOC105602729,,,,,,
LOC105602726,SLC10A7,,,,,,
LOC105602706,LOC105602706,,,,,,
LOC105602665,,DISCONTINUED,,,,,
LOC105602651,LOC105602651,,,,,,
LOC105602646,,DISCONTINUED,,,,,
LOC105602566,IMPACT,like gene,,,,,
LOC105602558,,DISCONTINUED,,,,,
LOC105602535,,DISCONTINUED,,,,,
LOC105602518,LOC105602518,,,,,,
LOC105602502,,DISCONTINUED,,,,,
LOC105602476,LOC105602476,,,,,,
LOC105602454,LOC105602454,,,,,,
LOC105602432,PFFIA1,like gene,,,,,
LOC105602425,,DISCONTINUED,,,,,
LOC105602396,,oxysterol binding protein; no specific protein listed,,,,,
LOC105602374,NR1H3,,,,,,
LOC105602367,,DISCONTINUED,,,,,
LOC105602361,LOC105602361,,,,,,
LOC105602360,TNK2,,,,,,
LOC105602333,LOC105602333,,,,,,
LOC105602314,GVQW3,,,,,,
LOC105602278,,DISCONTINUED,,,,,
LOC105602274,LOC105602274,,,,,,
LOC105602268,LOC105602268,,,,,,
LOC105602260,,,,,,,
LOC105602254,LOC105602254,,,,,,
LOC105602197,,DISCONTINUED,,,,,
LOC105602152,,DISCONTINUED,,,,,
LOC105602149,FDX1,,,,,,
LOC105602128,RBBP8,Like gene,,,,,
LOC105602127,SINHCAF,Like gene,,,,,
LOC105602113,TIGD1,like gene,,,,,
LOC105602111,ZNF324,like gene,,,,,
LOC105602107,ZNF805,Like gene,,,,,
LOC105602100,LILRB3,,,,,,
LOC105602080,CTU1,,,,,,
LOC105602076,LOC105602076,,,,,,
LOC105602066,CD63,like gene,,,,,
LOC105602054,PIEZO1,,,,,,
LOC105602050,DDX19B,,,,,,
LOC105602046,,DISCONTINUED,,,,,
LOC105602044,ZNF544,,,,,,
LOC105602040,ZNF345,,,,,,
LOC105602038,LOC105602038,,,,,,
LOC105602037,ZNF551,like gene,,,,,
LOC105602036,ZNF211,like gene,,,,,
LOC105602034,ZNF134,,,,,,
LOC105602033,ZIK1,like gene,,,,,
LOC105602028,ZNF776,like gene,,,,,
LOC105602027,,DISCONTINUED,,,,,
LOC105602017,,DISCONTINUED,,,,,
LOC105601996,,DISCONTINUED,,,,,
LOC105601991,ZNF239,like gene,,,,,
LOC105601990,ZNF665,like gene,,,,,
LOC105601988,ZNF160,like gene,,,,,
LOC105601985,SIGLEC14,,,,,,
LOC105601982,LOC105601982,,,,,,
LOC105601953,ZNF175,,,,,,
LOC105601943,LOC101108680,,,,,,
LOC105601936,KLC2,,,,,,
LOC105601931,TMEM123,,,,,,
LOC105601930,DMBT1,,,,,,
LOC105601929,LOC105601929,,,,,,
LOC105601928,ABCC4,Like gene,,,,,
LOC105601924,,DISCONTINUED,,,,,
LOC105601916,ZNF211,like gene,,,,,
LOC105601913,LIME1,,,,,,
LOC105601911,,DISCONTINUED,,,,,
LOC105601907,LOC105601907,,,,,,
LOC105601893,CCT2,pseudogene,,,,,
LOC105601870,TICAM2,,,,,,
LOC105601865,IGBP1,pseudogene,,,,,
LOC105601864,UBE2N,,,,,,
LOC105601856,RDH14,,,,,,
LOC105601854,GLRX1,,,,,,
LOC105601852,TVP23B,,,,,,
LOC105601851,,antigen WC1.1-like,,,,,
LOC105601845,RPL10,,,,,,
LOC105601843,RAN,,,,,,
LOC101123672,C4,,,,,,
LOC101123657,FAM187B,like gene,,,,,
LOC101123656,KIR3DP1,,,,,,
LOC101123651,MTARC1,,,,,,
LOC101123632,PCDHB16,,,,,,
LOC101123603,FBXW12,,,,,,
LOC101123578,LILRA6,,,,,,
LOC101123551,ZFP2,,,,,,
LOC101123541,MCM2,,,,,,
LOC101123537,ALPI,,,,,,
LOC101123533,RPL37A,,,,,,
LOC101123441,COMMD7,like gene,,,,,
LOC101123419,C4A,,,,,,
LOC101123403,SIGLEC8,,,,,,
LOC101123395,MTARC2,,,,,,
LOC101123376,PCDHB13,,,,,,
LOC101123368,TTC41P,,,,,,
LOC101123359,EI24,,,,,,
LOC101123349,HNRNPK,,,,,,
LOC101123328,CYCS,pseudogene,,,,,
LOC101123326,RPL6,pseudogene,,,,,
LOC101123316,SPATS2,like gene,,,,,
LOC101123297,BRD4,,,,,,
LOC101123290,LOC101123290,,,,,,
LOC101123279,RPL27A,,,,,,
LOC101123244,SERPINB9,,,,,,
LOC101123219,PFAS,,,,,,
LOC101123196,TMEM94,,,,,,
LOC101123186,,DISCONTINUED,,,,,
LOC101123184,AIMP1,,,,,,
LOC101123159,C4,Like gene,,,,,
LOC101123120,PCDHB7,,,,,,
LOC101123118,ARF1,,,,,,
LOC101123112,RPL23A,,,,,,
LOC101123097,CSDE1,pseudogene,,,,,
LOC101123095,NUDT11,,,,,,
LOC101123021,RAB43,,,,,,
LOC101122981,TCTP,pseudogene,,,,,
LOC101122971,ZNF585A,,,,,,
LOC101122968,RPL17,pseudogene,,,,,
LOC101122944,EFCAB10,,,,,,
LOC101122940,A2M,,,,,,
LOC101122932,ZNF621,Like gene,,,,,
LOC101122926,,DISCONTINUED,,,,,
LOC101122892,TMEM131L,,,,,,
LOC101122871,KBTBD6,,,,,,
LOC101122848,FAM136A,,,,,,
LOC101122834,RPS4X,like gene,,,,,
LOC101122805,LZTS3,,,,,,
LOC101122794,,DISCONTINUED,,,,,
LOC101122788,LOC101122788,UDP-glucuronosyltransferase 2C1-like,,,,,
LOC101122778,LOC101122778,,,,,,
LOC101122777,YBX3,,,,,,
LOC101122769,PTPN23,,,,,,
LOC101122752,ZNF316,,,,,,
LOC101122734,TUBB2A,,,,,,
LOC101122720,ARHGAP35,,,,,,
LOC101122718,LOC101122718,,,,,,
LOC101122717,HMGN1,,,,,,
LOC101122692,HMGB2,pseudogene,,,,,
LOC101122689,,T-cell receptor gamma chain C region C10.5,,,,,
LOC101122683,OVOS2,like gene,,,,,
LOC101122675,LILRB3,,,,,,
LOC101122667,HSPE1,,,,,,
LOC101122645,H2AC20,,,,,,
LOC101122601,RPS13,pseudogene,,,,,
LOC101122584,SBF1,,,,,,
LOC101122577,AMD1,Like gene,,,,,
LOC101122548,GALNT18,,,,,,
LOC101122545,CYP2S1,,,,,,
LOC101122517,ABCB4,,,,,,
LOC101122504,TCP11X2,like gene,,,,,
LOC101122496,ABCC1,like gene,,,,,
